variable,dataset_id,rows,file
temperature,sbwg-7ju4,11169,/Users/jhongarciabarrera/VS - Local/Github/proyectos-clima/proyecto 1/scripts/data/raw/temperature/ideam_temperature_risaralda_pereira_2015-01-01_2025-12-31_daily.csv
precipitation,s54a-sgyg,10061,/Users/jhongarciabarrera/VS - Local/Github/proyectos-clima/proyecto 1/scripts/data/raw/precipitation/ideam_precipitation_risaralda_pereira_2015-01-01_2025-12-31_daily.csv
humidity,uext-mhny,11332,/Users/jhongarciabarrera/VS - Local/Github/proyectos-clima/proyecto 1/scripts/data/raw/humidity/ideam_humidity_risaralda_pereira_2015-01-01_2025-12-31_daily.csv
