codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-01,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-01,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-01,1.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-02,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-02,1.126,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-02,2.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-03,6.1,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-03,16.208,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-03,12.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-04,1.9,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-04,10.118,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-04,9.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-09,2.6,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-09,38.538,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-09,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-10,1.2,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-10,0.867,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-10,2.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-11,2.8,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-11,8.979,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-11,25.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-12,4.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-12,6.649,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-12,8.3,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-13,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-13,0.087,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-13,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-14,2.4,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-14,0.01,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-14,1.9,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-15,0.1,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-15,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-15,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-16,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-16,0.526,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-16,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-17,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-17,0.02,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-17,6.2,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-18,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-18,0.098,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-18,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-19,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-19,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-19,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-20,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-20,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-20,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-21,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-21,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-21,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-22,2.9,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-22,0.041,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-22,1.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-23,1.2,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-23,0.434,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-23,16.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-24,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-24,0.004,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-24,0.0,mm
