codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-01,25.448,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2018-01-01,1.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-01,16.8,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-01,9.2,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-02,0.023,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2018-01-02,2.8,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-02,3.4,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-02,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-03,2.015,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2018-01-03,0.7,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-03,0.9,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-03,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2018-01-03,0.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-04,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-04,0.613,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2018-01-04,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-04,8.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-04,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2018-01-04,2.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-05,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-05,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2018-01-05,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-05,1.7,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-05,0.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2018-01-05,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-06,4.9,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-06,9.073,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2018-01-06,0.0,mm
