codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-01,2.3,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-01,4.5,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-02,1.7,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-02,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-03,5.5,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-03,13.6,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-03,2.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-04,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-04,0.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-04,0.2,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-05,0.8,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-05,21.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-05,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-06,11.8,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-06,1.3,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-06,6.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-07,8.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-07,9.8,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-07,27.5,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-08,4.5,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-08,3.7,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-08,1.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-09,13.3,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-09,0.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-09,5.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-10,25.4,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-10,3.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-10,27.3,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-11,0.4,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-11,3.3,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-11,3.5,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-12,4.4,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-12,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-12,13.3,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-13,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-13,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-13,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-14,25.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-14,8.7,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-14,12.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-15,5.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-15,0.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-15,16.2,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-16,4.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-16,7.9,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-16,0.2,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-17,3.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-17,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-17,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-18,0.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-18,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-18,0.2,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-19,38.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-19,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-19,15.6,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-20,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-20,30.6,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-20,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-21,9.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-21,5.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-21,24.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-22,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-22,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-22,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-23,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-23,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-23,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-24,0.3,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-24,1.3,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-24,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-25,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-25,1.4,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-25,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-26,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-26,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-26,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-27,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-27,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-27,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-28,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-28,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-29,16.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-29,6.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-29,0.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-30,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-30,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-30,0.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-01-31,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-01-31,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-01-31,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-01,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-01,3.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-01,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-02,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-02,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-02,0.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-03,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-03,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-04,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-04,3.3,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-05,2.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-05,0.7,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-05,0.2,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-06,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-06,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-06,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-07,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-07,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-08,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-08,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-09,0.7,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-09,2.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-09,7.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-10,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-10,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-10,7.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-11,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-11,16.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-12,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-12,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-13,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-13,2.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-13,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-14,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-14,13.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-14,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-15,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-15,6.7,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-15,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-16,45.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-16,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-16,17.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-17,3.3,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-17,32.4,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-17,11.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-18,4.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-18,3.8,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-18,11.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-19,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-19,4.3,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-19,15.8,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-20,5.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-20,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-20,0.3,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-21,0.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-21,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-22,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-22,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-22,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-23,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-23,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-24,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-24,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-25,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-25,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-25,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-26,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-26,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-26,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-27,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-27,0.4,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-27,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-02-28,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-02-28,3.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-02-28,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-03-01,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2023-03-01,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2023-03-01,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2023-03-02,0.1,mm
