codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-01,78.56524230337078,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-01,85.91666666666667,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-01,95.08333333333333,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-01,96.0,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-01,76.02036977900552,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-02,71.87873657754011,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-02,80.65217391304347,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-02,93.875,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-02,92.875,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-02,75.97047682291667,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-03,72.67360041198502,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-03,72.625,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-03,90.45833333333333,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-03,61.69565217391304,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-03,76.88629779411765,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-04,70.27301368055555,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-04,69.83333333333334,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-04,86.95833333333333,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-04,70.21739130434783,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-04,73.8935417578125,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-05,71.25540638888889,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-05,64.8,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-05,86.91666666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-05,73.31818181818183,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-05,75.13638181481481,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-06,69.07661069444445,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-06,68.04545454545455,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-06,85.16666666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-06,62.47826086956522,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-06,75.29450616541354,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-07,67.92181913194445,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-07,63.166666666666664,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-07,84.5,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-07,52.913043478260875,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-07,72.32349871212122,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-08,65.557545,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-08,60.458333333333336,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-08,82.45833333333333,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-08,32.5,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-08,69.73816708333334,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-09,55.94869131979695,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-09,61.75,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-09,83.29166666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-09,57.130434782608695,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-09,71.5964676923077,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-10,66.34621885416666,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-10,64.54166666666666,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-10,83.16666666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-10,40.833333333333336,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-10,69.36636948412698,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-11,65.22058333333334,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-11,61.875,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-11,82.91666666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-11,58.958333333333336,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-11,70.08032505836576,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-12,61.74846163194445,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-12,58.166666666666664,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-12,83.45833333333333,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-12,64.75,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-12,64.5349439375,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-13,64.76591420138888,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-13,61.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-13,86.58333333333333,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-13,64.125,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-13,64.49395893491123,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-14,74.0937255,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-14,65.125,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-14,86.75,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-14,64.91666666666666,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-14,67.72515562130178,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-15,73.94972135416667,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-15,71.45833333333334,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-15,83.91666666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-15,69.25,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-15,79.6664557751938,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-16,61.18064350694445,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-16,60.375,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-16,78.13043478260869,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-16,66.16666666666666,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-16,62.939163601895736,%
