variable,dataset_id,rows,file
temperature,sbwg-7ju4,1369,/Users/jhongarciabarrera/VS - Local/Github/proyectos-clima/proyecto 1/data/raw/temperature/ideam_temperature_risaralda_pereira_2017-01-01_2017-12-31_daily.csv
precipitation,s54a-sgyg,1671,/Users/jhongarciabarrera/VS - Local/Github/proyectos-clima/proyecto 1/data/raw/precipitation/ideam_precipitation_risaralda_pereira_2017-01-01_2017-12-31_daily.csv
humidity,uext-mhny,1369,/Users/jhongarciabarrera/VS - Local/Github/proyectos-clima/proyecto 1/data/raw/humidity/ideam_humidity_risaralda_pereira_2017-01-01_2017-12-31_daily.csv
