codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-01,24.3125,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-01,19.179166666666664,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-01,8.43,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-02,22.5125,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-02,18.325,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-02,6.645833333333334,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-03,22.620833333333334,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-03,17.995833333333334,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-03,8.166666666666668,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-04,22.04583333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-04,17.17083333333333,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-04,7.060869565217391,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-05,23.34583333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-05,17.791666666666664,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-05,7.695238095238096,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-06,22.84583333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-06,18.441666666666663,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-06,8.604347826086956,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-07,24.041666666666664,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-07,18.9375,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-07,7.7333333333333325,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-08,24.0125,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-08,18.66521739130435,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-08,7.517391304347826,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-09,23.53333333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-09,17.320833333333333,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-09,6.708333333333334,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-10,21.579166666666666,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-10,17.025,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-10,6.758333333333334,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-11,21.604166666666664,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-11,17.575,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-11,7.5625,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-12,23.04583333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-12,18.520833333333332,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-12,6.554166666666666,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-13,23.579166666666666,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-13,18.725,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-13,7.068421052631579,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-14,23.5375,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-14,18.741666666666664,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-14,6.131818181818182,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-15,24.2,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-15,18.504347826086956,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-15,8.129166666666666,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2016-01-16,24.03333333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2016-01-16,18.75,°C
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2016-01-16,7.745833333333333,°C
